order_id,user_id,amount,courses,purchase_time,is_repeat
o001,437,8950.0,ML про,2026-08-04 09:08:31,false
o002,437,7890.0,Аналитика старт,2026-08-04 09:35:00,false
o003,443,8475.0,Линейная алгебра,2026-08-04 10:14:38,false
o004,443,8475.0,Мат анализ,2026-08-04 10:14:38,false
o005,430,8950.0,К ВУЗу,2026-08-04 13:38:06,false
o006,480,15695.0,Data Science,2026-08-04 16:17:19,false
o007,131,8745.0,Backend старт,2026-08-04 17:05:46,false
o008,571,8475.0,ML про,2026-08-04 17:19:52,false
o009,571,8475.0,ML старт,2026-08-04 17:19:52,false
o010,159,8475.0,Backend про,2026-08-05 12:56:32,true
o011,159,8475.0,Backend старт,2026-08-05 12:56:32,false
o012,126,8745.0,ML старт,2026-08-05 13:22:41,false
o013,225,8745.0,АВ тестам,2026-08-05 14:22:34,false
o014,137,8475.0,Backend старт,2026-08-05 15:01:16,false
o015,280,8245.0,ML старт,2026-08-05 16:37:02,false
o016,222,7975.0,Backend про,2026-08-05 18:52:56,false
o017,222,7975.0,Backend старт,2026-08-05 18:52:56,false
o018,291,9950.0,Линейная алгебра,2026-08-06 10:06:16,false
o019,291,9950.0,Мат анализ,2026-08-06 10:06:16,false
o020,295,6950.0,К ВУЗу,2026-08-06 10:14:55,true
o021,294,9950.0,Линейная алгебра,2026-08-06 10:39:31,false
o022,325,9950.0,Линейная алгебра,2026-08-06 11:41:17,false
o023,166,6950.0,К ВУЗу,2026-08-06 12:15:46,false
o024,477,500.0,Теория вероятностей,2026-08-06 14:52:49,false
o025,579,8245.0,ML старт,2026-08-06 16:20:47,false
o026,334,9950.0,Линейная алгебра,2026-08-07 11:16:14,false
o027,334,9950.0,Мат анализ,2026-08-07 11:16:14,false
o028,459,9950.0,Мат анализ,2026-08-07 11:31:08,false
o029,313,9450.0,Мат анализ,2026-08-07 11:58:49,false
o030,481,8745.0,ML про,2026-08-07 13:09:54,true
o031,249,6950.0,К ВУЗу,2026-08-07 19:38:55,false
o032,259,8745.0,ML про,2026-08-08 07:59:01,false
o033,26,6490.0,Backend старт,2026-08-08 09:23:01,false
o034,183,6490.0,Backend старт,2026-08-08 10:08:11,false
o035,47,4995.0,ML старт,2026-08-08 12:24:55,false
o036,47,4995.0,Алгоритмы старт,2026-08-08 12:24:55,false
o037,518,6490.0,Алгоритмы старт,2026-08-08 12:37:37,false
o038,54,6490.0,Алгоритмы старт,2026-08-08 12:39:51,false
o039,554,5000.0,ML старт,2026-08-08 12:44:01,false
o040,554,5000.0,Алгоритмы старт,2026-08-08 12:44:01,true
o041,473,10000.0,Алгоритмы,2026-08-08 13:57:16,false
o042,308,4950.0,Backend старт,2026-08-08 14:05:17,false
o043,308,4950.0,Алгоритмы старт,2026-08-08 14:05:17,false
o044,412,4995.0,ML старт,2026-08-08 14:06:52,false
o045,412,4995.0,Алгоритмы старт,2026-08-08 14:06:52,false
o046,7,4950.0,Backend старт,2026-08-08 14:07:56,false
o047,370,6490.0,Backend старт,2026-08-08 14:10:35,false
o048,532,4995.0,Аналитика про,2026-08-08 16:22:47,false
o049,532,4995.0,Аналитика старт,2026-08-08 16:22:47,false
o050,451,8245.0,Backend про,2026-08-08 16:24:46,true
o051,265,5990.0,ML старт,2026-08-08 16:25:28,false
o052,8,4495.0,АВ тестам,2026-08-08 16:25:39,false
o053,8,4495.0,Алгоритмы,2026-08-08 16:25:39,false
o054,33,4995.0,Backend старт,2026-08-08 16:26:36,false
o055,33,4995.0,Алгоритмы старт,2026-08-08 16:26:36,false
o056,512,4995.0,Алгоритмы старт,2026-08-08 16:43:12,false
o057,410,6490.0,Backend старт,2026-08-08 16:51:05,false
o058,516,4950.0,Алгоритмы старт,2026-08-08 16:59:49,false
o059,516,4950.0,Аналитика старт,2026-08-08 16:59:49,false
o060,511,4950.0,Аналитика старт,2026-08-08 17:29:42,true
o061,256,5990.0,ML старт,2026-08-08 17:54:37,false
o062,333,6490.0,Аналитика старт,2026-08-08 18:25:13,false
o063,233,6490.0,Аналитика старт,2026-08-08 18:51:08,false
o064,427,4950.0,ML старт,2026-08-08 19:23:46,false
o065,427,4950.0,Алгоритмы,2026-08-08 19:23:46,false
o066,120,6490.0,Аналитика старт,2026-08-08 19:28:26,false
o067,469,4950.0,Алгоритмы,2026-08-08 19:45:24,false
o068,161,4995.0,Backend старт,2026-08-08 19:49:42,false
o069,161,4995.0,Алгоритмы старт,2026-08-08 19:49:42,false
o070,320,4995.0,Алгоритмы старт,2026-08-08 19:54:31,true
o071,320,4995.0,Аналитика старт,2026-08-08 19:54:31,false
o072,135,4995.0,ML старт,2026-08-08 20:00:19,false
o073,135,4995.0,Алгоритмы старт,2026-08-08 20:00:19,false
o074,73,4995.0,Алгоритмы старт,2026-08-08 20:05:40,false
o075,227,4725.0,ML старт,2026-08-08 20:08:33,false
o076,227,4725.0,Алгоритмы старт,2026-08-08 20:08:33,false
o077,507,6490.0,ML старт,2026-08-08 20:12:46,false
o078,421,4995.0,Data Engenering,2026-08-08 20:25:37,false
o079,421,4995.0,Алгоритмы,2026-08-08 20:25:37,false
o080,401,8245.0,Backend про,2026-08-08 22:16:55,true
o081,160,4995.0,Аналитика старт,2026-08-09 02:39:44,false
o082,32,6490.0,ML старт,2026-08-09 04:36:11,false
o083,415,4995.0,Backend старт,2026-08-09 04:51:42,false
o084,167,4950.0,ML старт,2026-08-09 09:07:16,false
o085,167,4950.0,Алгоритмы старт,2026-08-09 09:07:16,false
o086,262,6490.0,Backend про,2026-08-09 09:10:55,false
o087,570,4995.0,Алгоритмы старт,2026-08-09 09:24:57,false
o088,570,4995.0,Аналитика старт,2026-08-09 09:24:57,false
o089,520,6490.0,Аналитика старт,2026-08-09 09:27:27,false
o090,598,4950.0,Backend старт,2026-08-09 09:43:34,true
o091,598,4950.0,Алгоритмы,2026-08-09 09:43:34,false
o092,279,6490.0,Аналитика старт,2026-08-09 09:48:26,false
o093,207,6490.0,Алгоритмы старт,2026-08-09 10:15:38,false
o094,457,6490.0,Алгоритмы старт,2026-08-09 10:16:31,false
o095,389,4950.0,ML старт,2026-08-09 10:18:12,false
o096,389,4950.0,Алгоритмы старт,2026-08-09 10:18:12,false
o097,89,9900.0,Алгоритмы,2026-08-09 10:44:19,false
o098,232,6490.0,Аналитика старт,2026-08-09 10:47:20,false
o099,527,4950.0,ML старт,2026-08-09 10:49:47,false
o100,527,4950.0,Алгоритмы старт,2026-08-09 10:49:47,true
o101,129,6490.0,Аналитика старт,2026-08-09 10:56:45,false
o102,19,4950.0,Алгоритмы старт,2026-08-09 11:01:50,false
o103,19,4950.0,Аналитика старт,2026-08-09 11:01:50,false
o104,38,6490.0,Аналитика старт,2026-08-09 12:15:31,false
o105,206,4995.0,Backend старт,2026-08-09 13:00:12,false
o106,206,4995.0,Алгоритмы,2026-08-09 13:00:12,false
o107,356,6950.0,Backend старт,2026-08-09 13:48:05,false
o108,336,4950.0,ML старт,2026-08-09 13:48:41,false
o109,336,4950.0,Алгоритмы старт,2026-08-09 13:48:41,false
o110,53,4950.0,ML старт,2026-08-09 13:57:35,true
