channel,post_id,url,date,datetime,views,post_type,is_forward,forward_from,text,recovered,deleted_at,cta_link,source_param
postypashki_old,1826,https://t.me/postypashki_old/1826,2026-08-01,2026-08-01T09:05:28+00:00,21100.0,CONTENT,False,,"Гайд на собесы WB ML Наши выпускники прошлых потоков сейчас во всю ходят по собесам, по горячим следам составили эксклюзивный гайд на ML собесы WB с вопросами, ответами и задачами на код. Хоть WB сейчас и испытывает временные трудности из-за чего заморозил найм, отозвал офферы и отложил выходы на работу, но над ситуацией уже работают и за пару недель все вернется на круги своя. У WB куча денег, премии всегда насыпали с горкой, а проекты реально интересные. К тому же файл универсален для всех компаний, а не только для WB. Сохраняй себе и делись с друзьями такой годнотой 🔥 Подписаться: @postypashki_old",False,,,
postypashki_old,1827,https://t.me/postypashki_old/1827,2026-08-02,2026-08-02T08:51:49+00:00,32500.0,CONTENT,False,,"Разбор контеста на стажировку в Яндекс за подписку! Чтобы получить разбор: ➡️ Подпишитесь на нас в запрещенной странице тут ➡️ Поставьте «+» в комментариях под последней каруселью тут ➡️ После этого бот пришлёт вам материал в директ Внутри будет разбор контеста и заданий, которые помогут подготовиться к отбору в Яндекс",False,,,
postypashki_old,1828,https://t.me/postypashki_old/1828,2026-08-03,2026-08-03T16:07:16+00:00,19000.0,DISCOUNT,False,,"Про опыт работы зарубежом Желания поработать зарубежом могут быть разные: опыт решения задач другого масштаба и формата, перестать быть привязанным к одному региону и валюте, способ познания мира и так далее. Но работа за границей - это не просто ""нашел вакансию, прошел собес и улетел"". Здесь две задачи: попасть в иностранную компанию, потом научиться в ней работать, расти и не вылететь при первом сокращении. Всего этого коснемся в посте. Принципы касаются и валютных удаленок, но в посте скорее обсудим больше релокацию. Какой регион выбрать Кроме Европы и США, сейчас особенно привлекательными выглядит Азия и ОАЭ, Саудовская Аравия - огромные быстро развивающиеся рынки. При этом где-то главным барьером будет виза, где-то язык, где-то местная корпоративная культура, а где-то нежелание компании связываться с релокацией иностранца. Поэтому сначала нужно выбрать конкретный регион. Пытаться одновременно готовиться к найму в США, Германию, Дубай и Китай - примерно как готовиться сразу на бэке",False,,,
postypashki_old,1829,https://t.me/postypashki_old/1829,2026-08-04,2026-08-04T15:50:24+00:00,19100.0,CONTENT,False,,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал! https://www.youtube.com/shorts/d_lUVE5oo7A",False,,,
postypashki_old,1830,https://t.me/postypashki_old/1830,2026-08-05,2026-08-05T16:03:53+00:00,18800.0,CONTENT,False,,"Как повысить профессиональный рейтинг Раньше было достаточно откликнуться на вакансию в красном демоне и ждать приглашения на собес. Сейчас - нет. Количество кандидатов растёт, вакансий становится меньше, а ИИ уже проходит базовые собесы. Теперь нужно вкладываться в личный бренд и нетворкинг, чтобы рекрутеры бегали за тобой, а не наоборот. Разобрал популярные способы, которые реально работают. Статьи Отличный способ, чтобы апнуться в теме как специалист, потому что параллельно придется перебрать немало материалов, чтобы не наврать, не ошибиться или просто для вдохновения. Вдохновиться написать статью несложно: просто заварите кофе, откройте статьи/посты по своей теме и записывайте все идеи, которые пришли в голову. Статьи можно публиковать на LinkedIn, собирая лайки и прокачивая свой профиль. В комментариях к своей статьи можно законектиться с заряженными специалистами. И также статьи можно прикладывать при подаче на талантливые визы вроде O1 в США. Конференции Статьи отлично подготавл",False,,,
postypashki_old,1831,https://t.me/postypashki_old/1831,2026-08-06,2026-08-06T16:23:59+00:00,17900.0,CONTENT,False,,Какие пет проекты гарантирует тебе оффер на мл-инженера? Обсудим в новом ролике. Смотрим! Смотрим! https://www.youtube.com/watch?v=KTkqc4tY5Wk&t=43s,False,,,
postypashki_old,1833,https://t.me/postypashki_old/1833,2026-08-07,2026-08-07T14:22:16+00:00,16500.0,CONTENT,False,,Слив алгоритмического собеса в Авито. Смотрим! Смотрим! https://www.youtube.com/watch?v=dO8fHARGgZY&sttick=0 Выкладываем запись мок-собеседования с курса алгоритмы старт по протоколу Авито. В Авито алгоритмы могут спросить на разработчика и мл специалиста - смотрите наш гайд по алгоритмам на собесах Авито . Если вы готовитесь к стажировкам или первой работе обязательно посмотрите!,False,,,
postypashki_old,1834,https://t.me/postypashki_old/1834,2026-08-08,2026-08-08T06:05:37+00:00,15500.0,DISCOUNT,False,,"Магистратура по e-commerce от РУДН и Wildberries — для тех, кто хочет развиваться в электронной коммерции Программа сочетает системный подход высшего образования РУДН и практику экспертов RWB — крупнейшего игрока российского e-commerce. Для поступающих — скидка 10% на первый год обучения при оплате до 13 августа. Также есть возможность оплатить первый семестр в рассрочку. Магистратура подойдет специалистам, которые хотят строить или развивать карьеру в электронной коммерции, предпринимателям и выпускникам бакалавриата. За два года обучения вы получите не только диплом магистра РУДН, но и практический опыт, знания о рынке электронной коммерции и возможность учиться у экспертов индустрии. Обучение проходит онлайн — его можно совмещать с работой и развитием собственного бизнеса. Подать документы на поступление можно до 13 августа. 🚀 Реклама. ООО «РВБ». ИНН 9714053621. erid: 2SDnjcd9GCK",False,,,
postypashki_old,1836,https://t.me/postypashki_old/1836,2026-08-09,2026-08-09T10:32:11+00:00,18200.0,DISCOUNT,False,,"Дайджест вакансий Товарищи, собрали свежие стажировки и junior-вакансии по аналитике, ML и разработке. Сохраняйте и отправляйте резюме - ждать осеннего найма необязательно. 📌 АНАЛИТИКА → ВТБ — Стажёр в «Цифровые помощники» → Альфа-Банк — Стажёр в департамент продаж и развития малого и микробизнеса → Альфа-Банк — Стажёр в отдел разработки дебетовых продуктов → Ozon — Стажёр-аналитик в коммерцию → Ozon — Младший аналитик данных → Ozon — Стажёр продуктовый аналитик, Производство Fulfillment → МТС — Стажёр Data Analyst Geo → Т-Банк - Младший продуктовый аналитик → Магнит — Стажер-продуктовый аналитик (направление данных и метрик) 💡 MACHINE LEARNING → Альфа-Банк — Стажёр NLP инженер → Ozon Tech — Стажер ML-инженер, рекомендательные системы → МТС — Стажер ML Engineer → VK — ML-инженер (Audio/Deep Learning) → VK — ML-инженер в рекомендательные системы → CБЕР — Стажер → СБЕР — Стажер разработка и внедрение решений с LLM → CБЕР — Стажер-разработчик AI-агентов ▶️ BACKEND → Ozon Tech — Стажёр-раз",False,,,
postypashki_old,1837,https://t.me/postypashki_old/1837,2026-08-09,2026-08-09T15:35:40+00:00,19700.0,CONTENT,False,,"Как найти стажировку зарубежом Товарищи, пока идут последние 6 часов финальной распродажи на СТАРТ , хотим напомнить: база, которую вы проходите на курсах, пригодится не только для отборов в Яндекс, Авито или Т-Банк. Зарубежные компании на технических собеседованиях проверяют плюс-минус те же темы: ⬇️ Аналитика — SQL, статистика, A/B-тесты, продуктовые метрики ⬇️ ML — классический ML/DL, метрики, Python ⬇️ Backend — сети, базы данных, API, основы разработки ⬇️ Алгоритмы — структуры данных и задачи на кодинг То есть если в будущем хотите подаваться на зарубежные стажировки, СТАРТ можно использовать как техническую базу для подготовки и к ним . А готовиться к зарубежным летним стажировкам начинают сильно заранее - вакансии на лето 2027 появляются уже сейчас. Поэтому мы собрали небольшой гайд: кратко рассказали, как устроены зарубежные стажировки и отборы, и добавили подборки актуальных вакансий по разработке, ML, аналитике, продукту и другим направлениям. Делимся гайдом с друзьями 😎",False,,,
