date,orders,revenue,customers,dow,is_weekend,is_truncated
2026-08-04,6,84130.0,6,1,False,False
2026-08-05,6,67110.0,6,2,False,False
2026-08-06,7,62445.0,7,3,False,False
2026-08-07,5,54995.0,5,4,False,False
2026-08-08,35,275015.0,35,5,True,False
2026-08-09,68,524091.67,68,6,True,False
2026-08-10,29,205590.0,29,0,False,False
2026-08-11,12,96330.0,12,1,False,False
2026-08-12,14,114930.0,14,2,False,False
2026-08-13,9,72810.0,9,3,False,False
2026-08-14,9,76690.0,9,4,False,False
2026-08-15,5,48345.0,5,5,True,False
2026-08-16,5,43085.0,5,6,True,False
2026-08-17,3,33185.0,3,0,False,False
2026-08-18,6,61110.0,6,1,False,False
2026-08-19,5,56380.0,5,2,False,False
2026-08-20,6,52585.0,6,3,False,False
2026-08-21,3,28145.0,3,4,False,False
2026-08-22,26,251150.0,26,5,True,False
2026-08-23,39,394495.0,39,6,True,False
2026-08-24,19,184073.0,19,0,False,False
2026-08-25,15,141650.0,15,1,False,False
2026-08-26,9,84075.0,9,2,False,False
2026-08-27,10,137425.0,10,3,False,False
2026-08-28,6,60200.0,6,4,False,False
2026-08-29,10,104070.0,10,5,True,False
2026-08-30,18,167795.0,18,6,True,False
2026-08-31,19,206188.0,19,0,False,False
2026-09-01,19,226880.0,19,1,False,False
2026-09-02,23,217280.0,23,2,False,False
2026-09-03,20,180400.0,20,3,False,False
2026-09-04,26,269585.0,26,4,False,False
2026-09-05,48,484684.0,48,5,True,False
2026-09-06,45,396075.0,45,6,True,False
2026-09-07,17,173375.0,17,0,False,False
2026-09-08,6,64750.0,6,1,False,False
2026-09-09,16,193600.0,16,2,False,False
2026-09-10,1,9950.0,1,3,False,True
