order_id,student_id,ts,course,amount
O0491,1,2026-09-04 19:30:57,Аналитика старт,8950.0
O0522,2,2026-09-05 16:22:48,ML про,8950.0
O0466,3,2026-09-03 22:47:02,АВ тестам,5975.0
O0396,4,2026-08-31 15:42:34,AI агенты,8950.0
O0251,5,2026-08-22 16:19:00,ML про,5750.0
O0444,6,2026-09-02 19:16:28,Аналитика про,8450.0
O0035,7,2026-08-08 14:07:56,Backend старт,4950.0
O0040,8,2026-08-08 16:25:39,АВ тестам,4495.0
O0040,8,2026-08-08 16:25:39,Алгоритмы,4495.0
O0453,9,2026-09-03 14:55:45,Аналитика про,8950.0
O0571,10,2026-09-06 16:25:37,Backend про,8450.0
O0350,11,2026-08-27 20:09:27,ML старт,6975.0
O0102,12,2026-08-09 16:52:01,Backend старт,6490.0
O0589,13,2026-09-07 07:54:24,AI агенты,8950.0
O0385,14,2026-08-30 23:52:21,AI агенты,8950.0
O0483,15,2026-09-04 15:26:00,Аналитика про,8450.0
O0149,16,2026-08-10 16:56:42,ML старт,4950.0
O0149,16,2026-08-10 16:56:42,Алгоритмы старт,4950.0
O0253,17,2026-08-22 17:01:20,Алгоритмы,9950.0
O0513,18,2026-09-05 14:29:29,Алгоритмы про,8950.0
O0076,19,2026-08-09 11:01:50,Алгоритмы старт,4950.0
O0076,19,2026-08-09 11:01:50,Аналитика старт,4950.0
O0544,20,2026-09-06 11:07:00,Аналитика про,7475.0
O0544,20,2026-09-06 11:07:00,Аналитика старт,7475.0
O0148,21,2026-08-10 16:29:36,Алгоритмы старт,4950.0
O0148,21,2026-08-10 16:29:36,Аналитика старт,4950.0
O0559,22,2026-09-06 14:41:56,ML про,8450.0
O0566,23,2026-09-06 15:39:44,ML старт,2237.5
O0532,24,2026-09-05 18:23:21,ML про,8950.0
O0382,25,2026-08-30 18:34:15,ML про,8450.0
O0026,26,2026-08-08 09:23:01,Backend старт,6490.0
O0394,26,2026-08-31 14:03:44,Backend про,8975.0
O0394,26,2026-08-31 14:03:44,Дискретка,8975.0
O0363,27,2026-08-29 14:47:39,ML про,8950.0
O0480,28,2026-09-04 15:15:34,Аналитика про,7475.0
O0480,28,2026-09-04 15:15:34,Аналитика старт,7475.0
O0356,29,2026-08-28 18:20:56,Backend старт,8450.0
O0267,30,2026-08-23 10:06:51,ML про,8950.0
O0502,31,2026-09-05 11:00:21,ML про,7475.0
O0061,32,2026-08-09 04:36:11,ML старт,6490.0
O0041,33,2026-08-08 16:26:36,Backend старт,4995.0
O0041,33,2026-08-08 16:26:36,Алгоритмы старт,4995.0
O0417,34,2026-09-01 17:23:37,Аналитика про,8945.0
O0446,35,2026-09-02 22:38:59,Backend про,4225.0
O0623,36,2026-09-09 19:26:20,Алгоритмы,8950.0
O0623,36,2026-09-09 19:26:20,Дискретка,8950.0
O0623,36,2026-09-09 19:26:20,Линейная алгебра,8950.0
O0623,36,2026-09-09 19:26:20,Мат анализ,8950.0
O0623,36,2026-09-09 19:26:20,Теория вероятностей,8950.0
O0424,37,2026-09-02 04:13:14,Backend про,5750.0
O0077,38,2026-08-09 12:15:31,Аналитика старт,6490.0
O0348,39,2026-08-27 17:02:28,Мат анализ,9950.0
O0098,40,2026-08-09 16:36:02,Аналитика старт,6490.0
O0175,41,2026-08-12 10:22:39,ML старт,6500.0
O0546,42,2026-09-06 11:42:46,ML про,8450.0
O0493,43,2026-09-05 07:16:30,АВ тестам,6475.0
O0493,43,2026-09-05 07:16:30,Аналитика старт,6475.0
O0551,44,2026-09-06 12:29:18,AI агенты,6975.0
O0195,45,2026-08-14 10:04:52,Алгоритмы,5750.0
O0171,46,2026-08-12 05:13:04,К ВУЗу,6450.0
O0028,47,2026-08-08 12:24:55,ML старт,4995.0
O0028,47,2026-08-08 12:24:55,Алгоритмы старт,4995.0
O0511,48,2026-09-05 14:24:29,Backend про,8950.0
O0561,49,2026-09-06 14:51:02,AI агенты,7475.0
O0561,49,2026-09-06 14:51:02,Backend про,7475.0
O0433,50,2026-09-02 10:32:55,Алгоритмы старт,8950.0
O0567,51,2026-09-06 15:46:24,ML про,2237.5
O0152,52,2026-08-10 18:12:59,К ВУЗу,6450.0
O0081,53,2026-08-09 13:57:35,ML старт,4950.0
O0030,54,2026-08-08 12:39:51,Алгоритмы старт,6490.0
O0565,55,2026-09-06 15:35:13,AI агенты,2237.5
O0550,56,2026-09-06 12:12:33,Backend старт,7475.0
O0129,57,2026-08-10 00:14:10,ML старт,4950.0
O0087,58,2026-08-09 16:12:46,Backend старт,5463.33
O0087,58,2026-08-09 16:12:46,ML старт,5463.33
O0087,58,2026-08-09 16:12:46,Алгоритмы старт,5463.34
O0555,59,2026-09-06 13:32:21,ML про,8950.0
O0537,60,2026-09-05 19:44:33,ML про,8950.0
O0349,61,2026-08-27 19:44:33,ML про,6975.0
O0349,61,2026-08-27 19:44:33,ML старт,6975.0
O0114,62,2026-08-09 18:47:09,Backend старт,4995.0
O0114,62,2026-08-09 18:47:09,Алгоритмы старт,4995.0
O0123,63,2026-08-09 19:29:08,Data Engenering,6450.0
O0123,63,2026-08-09 19:29:08,Data Science,6450.0
