order_id,student_id,ts,revenue,n_items,courses,seq,is_repeat
O0001,437,2026-08-04 09:08:31,16840.0,2,ML про + Аналитика старт,1,False
O0002,443,2026-08-04 10:14:38,16950.0,2,Линейная алгебра + Мат анализ,1,False
O0003,430,2026-08-04 13:38:06,8950.0,1,К ВУЗу,1,False
O0004,480,2026-08-04 16:17:19,15695.0,1,Data Science,1,False
O0005,131,2026-08-04 17:05:46,8745.0,1,Backend старт,1,False
O0006,571,2026-08-04 17:19:52,16950.0,2,ML про + ML старт,1,False
O0007,159,2026-08-05 12:56:32,16950.0,2,Backend про + Backend старт,1,False
O0008,126,2026-08-05 13:22:41,8745.0,1,ML старт,1,False
O0009,225,2026-08-05 14:22:34,8745.0,1,АВ тестам,1,False
O0010,137,2026-08-05 15:01:16,8475.0,1,Backend старт,1,False
O0011,280,2026-08-05 16:37:02,8245.0,1,ML старт,1,False
O0012,222,2026-08-05 18:52:56,15950.0,2,Backend про + Backend старт,1,False
O0013,291,2026-08-06 10:06:16,19900.0,2,Линейная алгебра + Мат анализ,1,False
O0014,295,2026-08-06 10:14:55,6950.0,1,К ВУЗу,1,False
O0015,294,2026-08-06 10:39:31,9950.0,1,Линейная алгебра,1,False
O0016,325,2026-08-06 11:41:17,9950.0,1,Линейная алгебра,1,False
O0017,166,2026-08-06 12:15:46,6950.0,1,К ВУЗу,1,False
O0018,477,2026-08-06 14:52:49,500.0,1,Теория вероятностей,1,False
O0019,579,2026-08-06 16:20:47,8245.0,1,ML старт,1,False
O0020,334,2026-08-07 11:16:14,19900.0,2,Линейная алгебра + Мат анализ,1,False
O0021,459,2026-08-07 11:31:08,9950.0,1,Мат анализ,1,False
O0022,313,2026-08-07 11:58:49,9450.0,1,Мат анализ,1,False
O0023,481,2026-08-07 13:09:54,8745.0,1,ML про,1,False
O0024,249,2026-08-07 19:38:55,6950.0,1,К ВУЗу,1,False
O0025,259,2026-08-08 07:59:01,8745.0,1,ML про,1,False
O0026,26,2026-08-08 09:23:01,6490.0,1,Backend старт,1,False
O0027,183,2026-08-08 10:08:11,6490.0,1,Backend старт,1,False
O0028,47,2026-08-08 12:24:55,9990.0,2,ML старт + Алгоритмы старт,1,False
O0029,518,2026-08-08 12:37:37,6490.0,1,Алгоритмы старт,1,False
O0030,54,2026-08-08 12:39:51,6490.0,1,Алгоритмы старт,1,False
O0031,554,2026-08-08 12:44:01,10000.0,2,ML старт + Алгоритмы старт,1,False
O0032,473,2026-08-08 13:57:16,10000.0,1,Алгоритмы,1,False
O0033,308,2026-08-08 14:05:17,9900.0,2,Backend старт + Алгоритмы старт,1,False
O0034,412,2026-08-08 14:06:52,9990.0,2,ML старт + Алгоритмы старт,1,False
O0035,7,2026-08-08 14:07:56,4950.0,1,Backend старт,1,False
O0036,370,2026-08-08 14:10:35,6490.0,1,Backend старт,1,False
O0037,532,2026-08-08 16:22:47,9990.0,2,Аналитика про + Аналитика старт,1,False
O0038,451,2026-08-08 16:24:46,8245.0,1,Backend про,1,False
O0039,265,2026-08-08 16:25:28,5990.0,1,ML старт,1,False
O0040,8,2026-08-08 16:25:39,8990.0,2,АВ тестам + Алгоритмы,1,False
O0041,33,2026-08-08 16:26:36,9990.0,2,Backend старт + Алгоритмы старт,1,False
O0042,512,2026-08-08 16:43:12,4995.0,1,Алгоритмы старт,1,False
O0043,410,2026-08-08 16:51:05,6490.0,1,Backend старт,1,False
O0044,516,2026-08-08 16:59:49,9900.0,2,Алгоритмы старт + Аналитика старт,1,False
O0045,511,2026-08-08 17:29:42,4950.0,1,Аналитика старт,1,False
O0046,256,2026-08-08 17:54:37,5990.0,1,ML старт,1,False
O0047,333,2026-08-08 18:25:13,6490.0,1,Аналитика старт,1,False
O0048,233,2026-08-08 18:51:08,6490.0,1,Аналитика старт,1,False
O0049,427,2026-08-08 19:23:46,9900.0,2,ML старт + Алгоритмы,1,False
O0050,120,2026-08-08 19:28:26,6490.0,1,Аналитика старт,1,False
O0051,469,2026-08-08 19:45:24,4950.0,1,Алгоритмы,1,False
O0052,161,2026-08-08 19:49:42,9990.0,2,Backend старт + Алгоритмы старт,1,False
O0053,320,2026-08-08 19:54:31,9990.0,2,Алгоритмы старт + Аналитика старт,1,False
O0054,135,2026-08-08 20:00:19,9990.0,2,ML старт + Алгоритмы старт,1,False
O0055,73,2026-08-08 20:05:40,4995.0,1,Алгоритмы старт,1,False
O0056,227,2026-08-08 20:08:33,9450.0,2,ML старт + Алгоритмы старт,1,False
O0057,507,2026-08-08 20:12:46,6490.0,1,ML старт,1,False
O0058,421,2026-08-08 20:25:37,9990.0,2,Data Engenering + Алгоритмы,1,False
O0059,401,2026-08-08 22:16:55,8245.0,1,Backend про,1,False
O0060,160,2026-08-09 02:39:44,4995.0,1,Аналитика старт,1,False
O0061,32,2026-08-09 04:36:11,6490.0,1,ML старт,1,False
O0062,415,2026-08-09 04:51:42,4995.0,1,Backend старт,1,False
O0063,167,2026-08-09 09:07:16,9900.0,2,ML старт + Алгоритмы старт,1,False
O0064,262,2026-08-09 09:10:55,6490.0,1,Backend про,1,False
O0065,570,2026-08-09 09:24:57,9990.0,2,Алгоритмы старт + Аналитика старт,1,False
O0066,520,2026-08-09 09:27:27,6490.0,1,Аналитика старт,1,False
