placement_id,channel,cost,attributed_revenue,romi
p004,@study_d,35000,139345.0,2.9812857142857143
p007,@study_b,45000,146895.0,2.2643333333333335
p003,@study_c,70000,166540.0,1.3791428571428572
p002,@study_b,55000,129135.0,1.347909090909091
p009,@study_d,72000,165378.34,1.2969213888888889
p008,@study_c,58000,130840.0,1.2558620689655173
p001,@study_a,40000,84930.0,1.12325
p005,@study_e,60000,116500.0,0.9416666666666667
p006,@study_a,65000,125973.33,0.9380512307692308
p010,@study_e,0,0.0,
organic,organic,0,4699135.0,
