placement_id,channel,cost,attributed_revenue,romi
p004,@study_d,35000,123625.0,2.532142857142857
p007,@study_b,45000,126102.5,1.8022777777777779
p008,@study_c,58000,143517.5,1.4744396551724137
p002,@study_b,55000,134175.0,1.4395454545454545
p001,@study_a,40000,85032.5,1.1258125
p003,@study_c,70000,140175.0,1.0025
p009,@study_d,72000,137928.34,0.9156713888888889
p005,@study_e,60000,113257.5,0.887625
p006,@study_a,65000,111608.33,0.7170512307692308
p010,@study_e,0,0.0,
organic,organic,0,2061394.6600000001,
repeat_customer,repeat_customer,0,357888.33999999997,
