touch_id,user_id,placement_id,touch_time
t001,106,p002,2026-08-05 10:53:02
t002,106,p003,2026-08-06 00:53:02
t003,11,p003,2026-08-21 20:09:27
t004,121,p004,2026-08-19 11:38:56
t005,122,p005,2026-08-20 20:55:44
t006,129,p006,2026-08-02 10:56:45
t007,130,p007,2026-08-12 14:59:16
t008,136,p008,2026-08-24 08:57:04
t009,137,p009,2026-07-30 15:01:16
t010,138,p001,2026-08-03 16:33:22
t011,142,p002,2026-08-09 15:49:13
t012,142,p003,2026-08-10 08:49:13
t013,146,p003,2026-08-16 16:27:30
t014,148,p004,2026-08-22 09:49:25
t015,152,p005,2026-08-08 08:42:13
t016,152,p006,2026-08-09 05:42:13
t017,153,p006,2026-08-11 18:30:59
t018,159,p007,2026-07-30 12:56:32
t019,162,p008,2026-08-12 12:51:04
t020,164,p009,2026-08-04 13:08:15
t021,165,p001,2026-08-19 07:21:38
t022,167,p002,2026-08-04 09:07:16
t023,17,p003,2026-08-16 17:01:20
t024,170,p004,2026-08-05 17:51:00
t025,176,p005,2026-08-05 16:29:58
t026,177,p006,2026-08-21 10:47:56
t027,178,p007,2026-08-21 09:15:13
t028,186,p008,2026-08-05 06:13:10
t029,186,p009,2026-08-05 19:13:10
t030,200,p009,2026-08-20 19:40:16
t031,201,p001,2026-08-18 17:28:20
t032,203,p002,2026-08-17 20:42:20
t033,207,p003,2026-08-07 10:15:38
t034,21,p004,2026-08-08 16:29:36
t035,211,p005,2026-08-20 11:08:24
t036,215,p006,2026-08-22 03:22:36
t037,217,p007,2026-08-06 14:24:20
t038,221,p008,2026-08-20 07:41:37
t039,236,p009,2026-08-22 05:27:29
t040,241,p001,2026-08-24 17:07:59
t041,253,p002,2026-08-27 17:04:49
t042,255,p003,2026-08-21 14:52:53
t043,257,p004,2026-08-21 20:56:06
t044,258,p005,2026-08-06 15:03:03
t045,259,p006,2026-08-03 07:59:01
t046,260,p007,2026-08-10 05:32:11
t047,263,p008,2026-08-15 19:53:10
t048,263,p009,2026-08-16 13:53:10
t049,265,p009,2026-08-01 16:25:28
t050,268,p001,2026-08-22 12:52:49
t051,277,p002,2026-08-19 11:24:53
t052,279,p003,2026-08-06 09:48:26
t053,281,p004,2026-08-07 12:02:08
t054,289,p005,2026-08-26 16:24:51
t055,29,p006,2026-08-22 18:20:56
t056,29,p007,2026-08-23 17:20:56
t057,290,p007,2026-08-21 16:53:02
t058,291,p008,2026-08-03 10:06:16
t059,293,p009,2026-08-17 11:35:35
t060,295,p001,2026-08-01 10:14:55
t061,298,p002,2026-08-20 18:48:14
t062,311,p003,2026-08-06 16:15:41
t063,313,p004,2026-08-02 11:58:49
t064,329,p005,2026-08-02 16:51:47
t065,332,p006,2026-08-06 06:44:05
t066,334,p007,2026-08-02 11:16:14
t067,341,p008,2026-08-19 11:59:04
t068,346,p009,2026-08-16 10:15:05
t069,351,p001,2026-08-14 11:12:25
t070,351,p002,2026-08-15 03:12:25
t071,361,p002,2026-08-15 10:53:42
t072,361,p003,2026-08-16 07:53:42
t073,365,p003,2026-08-03 16:15:08
t074,368,p004,2026-08-18 14:21:10
t075,369,p005,2026-08-03 18:53:23
t076,369,p006,2026-08-04 05:53:23
t077,372,p006,2026-08-20 15:11:44
t078,380,p007,2026-08-02 17:19:11
t079,382,p008,2026-08-04 18:58:42
t080,382,p009,2026-08-05 18:58:42
t081,386,p009,2026-08-16 13:53:46
t082,388,p001,2026-08-10 13:28:18
t083,389,p002,2026-08-04 10:18:12
t084,40,p003,2026-08-03 16:36:02
t085,401,p004,2026-08-04 22:16:55
t086,402,p005,2026-08-02 17:25:40
t087,418,p006,2026-08-22 04:03:43
t088,421,p007,2026-08-01 20:25:37
t089,426,p008,2026-08-08 09:26:22
t090,441,p009,2026-08-14 09:40:30
t091,441,p001,2026-08-15 09:40:30
t092,445,p001,2026-08-08 00:36:19
t093,445,p002,2026-08-08 12:36:19
t094,447,p002,2026-08-17 13:46:56
t095,448,p003,2026-08-10 14:23:30
t096,45,p004,2026-08-11 10:04:52
t097,453,p005,2026-08-08 17:07:53
t098,469,p006,2026-08-02 19:45:24
t099,473,p007,2026-08-02 13:57:16
t100,476,p008,2026-08-02 14:14:07
t101,478,p009,2026-08-03 00:13:55
t102,5,p001,2026-08-18 16:19:00
t103,500,p002,2026-08-08 13:21:01
t104,501,p003,2026-08-17 14:06:32
t105,508,p004,2026-08-07 21:33:27
t106,513,p005,2026-08-20 17:34:10
t107,518,p006,2026-08-02 12:37:37
t108,52,p007,2026-08-06 18:12:59
t109,525,p008,2026-08-15 15:39:49
t110,529,p009,2026-08-18 13:11:03
t111,53,p001,2026-08-07 13:57:35
t112,53,p002,2026-08-08 08:57:35
t113,531,p002,2026-08-26 10:04:17
t114,531,p003,2026-08-27 02:04:17
t115,537,p003,2026-08-09 04:49:43
t116,538,p004,2026-08-27 06:14:52
t117,54,p005,2026-08-03 12:39:51
t118,543,p006,2026-08-04 14:01:24
t119,546,p007,2026-08-08 19:07:51
t120,546,p008,2026-08-09 05:07:51
t121,549,p008,2026-08-18 05:25:17
t122,549,p009,2026-08-18 22:25:17
t123,550,p009,2026-08-03 16:24:42
t124,559,p001,2026-08-18 04:11:37
t125,559,p002,2026-08-18 19:11:37
t126,562,p002,2026-08-13 22:34:23
t127,563,p003,2026-08-07 17:28:24
t128,568,p004,2026-08-24 15:10:07
t129,571,p005,2026-07-28 17:19:52
t130,571,p006,2026-07-29 16:19:52
t131,577,p006,2026-08-04 16:26:30
t132,579,p007,2026-07-30 16:20:47
t133,581,p008,2026-08-20 11:19:47
t134,585,p009,2026-08-26 19:40:39
t135,592,p001,2026-08-17 20:38:02
t136,603,p002,2026-08-14 16:34:39
t137,606,p003,2026-08-05 18:36:00
t138,61,p004,2026-08-20 19:44:33
t139,63,p005,2026-08-05 19:29:08
t140,66,p006,2026-08-06 05:36:55
t141,66,p007,2026-08-06 12:36:55
t142,71,p007,2026-08-18 14:57:08
t143,79,p008,2026-08-09 04:09:52
t144,8,p009,2026-08-05 16:25:39
t145,81,p001,2026-08-23 13:44:26
t146,83,p002,2026-08-06 07:52:44
t147,84,p003,2026-08-07 19:07:32
t148,87,p004,2026-08-18 13:23:20
t149,89,p005,2026-08-03 10:44:19
